"Reference","QNum","Answer","TargetDate","ActionPlan","version"
"AF169825   ","23","no","2016-03-31","A conflicts of interest policy will be developed for the Trust. Pending its approval matters of conflict will be referred to the Chair of the Trust for resolution.","2"
"AF169825   ","24","yes","","","2"
"AF169825   ","25","yes","","","2"
"AF169825   ","26","yes","","","2"
"AF169825   ","27","no","2016-08-30","The accounting policies are being developed with the support of external auditors Crowe, Clark Whitehill during this first year of trading. They will be published in full in the annual accounts to 30 August 2016.","2"
"AF169825   ","28","yes","","","2"
"AF169825   ","29","yes","","","2"
"AF169825   ","30","no","2016-05-30","Independent checking of financial controls will be developed on a reciprocal basis with a local academy trust and the programme of work will start this academic year following appointment of the Chief Financial Officer","2"
"AF169825   ","31","no","2016-05-30","The audit and risk committee will approve the agreed programme of works to address internal financvial control.","2"
"AF169825   ","32","yes","","","2"
"AF169825   ","33","na","","","2"
"AF175737   ","1","yes","","","2"
"AF175737   ","2","yes","","","2"
"AF175737   ","3","yes","","","2"
"AF175737   ","4","yes","","","2"
"AF175737   ","5","yes","","","2"
"AF175737   ","6","yes","","","2"
"AF175737   ","7","yes","","","2"
"AF175737   ","8","yes","","","2"
"AF175737   ","9","yes","","","2"
"AF175737   ","10","na","","","2"
"AF175737   ","11","yes","","","2"
"AF175737   ","12","no","2016-08-31","No money available for investment in first year of opening.
Will put in place if needed. Unlikely before the end of year 3.
Review again at year end.","2"
"AF175737   ","13","yes","","","2"
"AF175737   ","14","yes","","","2"
"AF175737   ","15","yes","","","2"
"AF175737   ","16","yes","","","2"
"AF175737   ","17","yes","","","2"
"AF175737   ","18","yes","","","2"
"AF175737   ","19","yes","","","2"
"AF175737   ","20","yes","","","2"
"AF175737   ","21","yes","","","2"
"AF175737   ","22","yes","","","2"
"AF175737   ","23","yes","","","2"
"AF175737   ","24","yes","","","2"
"AF175737   ","25","yes","","","2"
"AF175737   ","26","yes","","","2"
"AF175737   ","27","yes","","","2"
"AF175737   ","28","yes","","","2"
"AF175737   ","29","yes","","","2"
"AF175737   ","30","no","2016-03-31","External accountants to be appointed to check the systems.","2"
"AF175737   ","31","yes","","","2"
"AF175737   ","32","yes","","","2"
"AF175737   ","33","na","","","2"
"AF177439   ","1","yes","","","2"
"AF177439   ","2","yes","","","2"
"AF177439   ","3","yes","","","2"
"AF177439   ","4","yes","","","2"
"AF177439   ","5","yes","","","2"
"AF177439   ","6","yes","","","2"
"AF177439   ","7","yes","","","2"
"AF177439   ","8","yes","","","2"
"AF177439   ","9","yes","","","2"
"AF177439   ","10","na","","","2"
"AF177439   ","11","yes","","","2"
"AF177439   ","12","yes","","","2"
"AF177439   ","13","yes","","","2"
"AF177439   ","14","no","2016-02-29","A scheme of delegation and a series of Financial policies have been documented. As the sub committee's will be established in January 2016, the Finance committee will ensure that an appropriate internal control framework is documented (although it has been in place during the pre opening phase).","2"
"AF177439   ","15","yes","","","2"
"AF177439   ","16","yes","","","2"
"AF177439   ","17","yes","","","2"
"AF177439   ","18","yes","","","2"
"AF177439   ","19","yes","","","2"
"AF177439   ","20","yes","","","2"
"AF177439   ","21","yes","","","2"
"AF177439   ","22","no","2016-01-31","N/a really, as no relevant business and pecuniary interests have been declared in the Trust meetings.","2"
"AF177439   ","23","yes","","","2"
"AF177439   ","24","yes","","","2"
"AF177439   ","25","yes","","","2"
"AF177439   ","26","yes","","","2"
"AF177439   ","27","no","2016-02-29","Informally in place, but yet to be formally documented. A task for the Finance committee to agree when set up in January 2016","2"
"AF177439   ","28","yes","","","2"
"AF177439   ","29","no","2016-02-29","To be established in January 2016","2"
"AF177439   ","30","yes","","","2"
"AF177439   ","31","no","2016-02-29","Similar to 29 above, it will be once the Finance committee has been established.","2"
"AF177439   ","32","yes","","","2"
"AF177439   ","33","na","","","2"
"AF183466   ","1","yes","","","2"
"AF183466   ","2","yes","","","2"
"AF183466   ","3","yes","","","2"
"AF183466   ","4","yes","","","2"
"AF183466   ","5","yes","","","2"
"AF183466   ","6","yes","","","2"
"AF183466   ","7","yes","","","2"
"AF183466   ","8","yes","","","2"
"AF183466   ","9","yes","","","2"
"AF183466   ","10","na","","","2"
"AF183466   ","11","yes","","","2"
"AF183466   ","12","no","2016-08-31","Investment policy to be drawn up","2"
"AF183466   ","13","yes","","","2"
"AF183466   ","14","yes","","","2"
"AF183466   ","15","no","2016-08-31","Business continuity plan to be drawn up","2"
"AF183466   ","16","yes","","","2"
"AF183466   ","17","yes","","","2"
"AF183466   ","18","yes","","","2"
"AF183466   ","19","yes","","","2"
"AF183466   ","20","yes","","","2"
"AF183466   ","21","yes","","","2"
"AF183466   ","22","yes","","","2"
"AF183466   ","23","yes","","","2"
"AF183466   ","24","yes","","","2"
"AF183466   ","25","yes","","","2"
"AF183466   ","26","yes","","","2"
"AF183466   ","27","yes","","","2"
"AF183466   ","28","yes","","","2"
"AF183466   ","29","yes","","","2"
"AF183466   ","30","yes","","","2"
"AF183466   ","31","yes","","","2"
"AF183466   ","32","yes","","","2"
"AF183466   ","33","na","","","2"
"AF155438   ","1","yes","","","2"
"AF155438   ","2","yes","","","2"
"AF155438   ","3","yes","","","2"
"AF155438   ","4","yes","","","2"
"AF155438   ","5","yes","","","2"
"AF155438   ","6","yes","","","2"
"AF155438   ","7","yes","","","2"
"AF155438   ","8","yes","","","2"
"AF155438   ","9","yes","","","2"
"AF155438   ","10","na","","","2"
"AF155438   ","11","yes","","","2"
"AF155438   ","12","yes","","","2"
"AF155438   ","13","yes","","","2"
"AF155438   ","14","yes","","","2"
"AF155438   ","15","yes","","","2"
"AF155438   ","16","yes","","","2"
"AF155438   ","17","yes","","","2"
"AF155438   ","18","yes","","","2"
"AF155438   ","19","yes","","","2"
"AF155438   ","20","yes","","","2"
"AF155438   ","21","yes","","","2"
"AF155438   ","22","yes","","","2"
"AF155438   ","23","yes","","","2"
"AF155438   ","24","yes","","","2"
"AF155438   ","25","yes","","","2"
"AF155438   ","26","yes","","","2"
"AF155438   ","27","yes","","","2"
"AF155438   ","28","yes","","","2"
"AF155438   ","29","yes","","","2"
"AF155438   ","30","yes","","","2"
"AF155438   ","31","yes","","","2"
"AF155438   ","32","yes","","","2"
"AF155438   ","33","na","","","2"
"AF150703   ","1","yes","","","2"
"AF150703   ","2","yes","","","2"
"AF150703   ","3","yes","","","2"
"AF150703   ","4","yes","","","2"
"AF150703   ","5","yes","","","2"
"AF150703   ","6","yes","","","2"
"AF150703   ","7","yes","","","2"
"AF150703   ","8","yes","","","2"
"AF150703   ","9","yes","","","2"
"AF150703   ","10","na","","","2"
"AF150703   ","11","yes","","","2"
"AF150703   ","12","yes","","","2"
"AF150703   ","13","yes","","","2"
"AF150703   ","14","no","2016-03-17","Resource Committee working on this in January 2016.","2"
"AF150703   ","15","no","2016-03-17","drafted and to be shared with resource committee in March 2016","2"
"AF150703   ","16","yes","","","2"
"AF150703   ","17","yes","","","2"
"AF150703   ","18","yes","","","2"
"AF150703   ","19","yes","","","2"
"AF150703   ","20","yes","","","2"
"AF150703   ","21","yes","","","2"
"AF150703   ","22","yes","","","2"
"AF150703   ","23","yes","","","2"
"AF150703   ","24","yes","","","2"
"AF150703   ","25","yes","","","2"
"AF150703   ","26","yes","","","2"
"AF150703   ","27","yes","","","2"
"AF150703   ","28","yes","","","2"
"AF150703   ","29","yes","","","2"
"AF150703   ","30","no","2016-03-17","Independent person identified and this is being planned and carried out in early part of 2016.","2"
"AF150703   ","31","yes","","","2"
"AF150703   ","32","yes","","","2"
"AF150703   ","33","na","","","2"
"AF172922   ","1","yes","","","2"
"AF172922   ","2","yes","","","2"
"AF172922   ","3","yes","","","2"
"AF172922   ","4","yes","","","2"
"AF172922   ","5","yes","","","2"
"AF172922   ","6","yes","","","2"
"AF172922   ","7","yes","","","2"
"AF172922   ","8","yes","","","2"
"AF172922   ","9","yes","","","2"
"AF172922   ","10","na","","","2"
"AF172922   ","11","no","2015-12-23","Already submitted but 1 week late with apologies","2"
"AF172922   ","12","yes","","","2"
"AF172922   ","13","yes","","","2"
"AF172922   ","14","yes","","","2"
"AF172922   ","15","yes","","","2"
"AF172922   ","16","yes","","","2"
"AF172922   ","17","yes","","","2"
"AF172922   ","18","yes","","","2"
"AF172922   ","19","yes","","","2"
"AF172922   ","20","yes","","","2"
"AF172922   ","21","yes","","","2"
"AF172922   ","22","yes","","","2"
"AF172922   ","23","yes","","","2"
"AF172922   ","24","yes","","","2"
"AF172922   ","25","yes","","","2"
"AF172922   ","26","yes","","","2"
"AF172922   ","27","yes","","","2"
"AF172922   ","28","yes","","","2"
"AF172922   ","29","yes","","","2"
"AF172922   ","30","yes","","","2"
"AF172922   ","31","yes","","","2"
"AF172922   ","32","yes","","","2"
"AF172922   ","33","na","","","2"
"AF175242   ","1","yes","","","2"
"AF175242   ","2","yes","","","2"
"AF175242   ","3","yes","","","2"
"AF175242   ","4","yes","","","2"
"AF175242   ","5","yes","","","2"
"AF175242   ","6","yes","","","2"
"AF175242   ","7","yes","","","2"
"AF175242   ","8","yes","","","2"
"AF175242   ","9","yes","","","2"
"AF175242   ","10","na","","","2"
"AF175242   ","11","yes","","","2"
"AF175242   ","12","yes","","","2"
"AF175242   ","13","yes","","","2"
"AF175242   ","14","yes","","","2"
"AF175242   ","15","yes","","","2"
"AF175242   ","16","yes","","","2"
"AF175242   ","17","yes","","","2"
"AF175242   ","18","yes","","","2"
"AF175242   ","19","yes","","","2"
"AF175242   ","20","yes","","","2"
"AF175242   ","21","yes","","","2"
"AF175242   ","22","yes","","","2"
"AF175242   ","23","yes","","","2"
"AF175242   ","24","yes","","","2"
"AF175242   ","25","yes","","","2"
"AF175242   ","26","yes","","","2"
"AF175242   ","27","yes","","","2"
"AF175242   ","28","yes","","","2"
"AF175242   ","29","yes","","","2"
"AF175242   ","30","yes","","","2"
"AF175242   ","31","yes","","","2"
"AF175242   ","32","yes","","","2"
"AF175242   ","33","na","","","2"
"AF176009   ","1","yes","","","2"
"AF176009   ","2","yes","","","2"
"AF176009   ","3","yes","","","2"
"AF176009   ","4","yes","","","2"
"AF176009   ","5","yes","","","2"
"AF176009   ","6","yes","","","2"
"AF176009   ","7","yes","","","2"
"AF176009   ","8","yes","","","2"
"AF176009   ","9","yes","","","2"
"AF176009   ","10","na","","","2"
"AF176009   ","11","yes","","","2"
"AF176009   ","12","yes","","","2"
"AF176009   ","13","yes","","","2"
"AF176009   ","14","yes","","","2"
"AF176009   ","15","yes","","","2"
"AF176009   ","16","yes","","","2"
"AF176009   ","17","yes","","","2"
"AF176009   ","18","yes","","","2"
"AF176009   ","19","yes","","","2"
"AF176009   ","20","yes","","","2"
"AF176009   ","21","yes","","","2"
"AF176009   ","22","yes","","","2"
"AF176009   ","23","yes","","","2"
"AF176009   ","24","yes","","","2"
"AF176009   ","25","yes","","","2"
"AF176009   ","26","yes","","","2"
"AF176009   ","27","yes","","","2"
"AF176009   ","28","yes","","","2"
"AF176009   ","29","yes","","","2"
"AF176009   ","30","yes","","","2"
"AF176009   ","31","yes","","","2"
"AF176009   ","32","yes","","","2"
"AF176009   ","33","na","","","2"
"AF187953   ","1","yes","","","2"
"AF187953   ","2","yes","","","2"
"AF187953   ","3","yes","","","2"
"AF187953   ","4","yes","","","2"
"AF187953   ","5","yes","","","2"
"AF187953   ","6","yes","","","2"
"AF187953   ","7","yes","","","2"
"AF187953   ","8","yes","","","2"
"AF187953   ","9","yes","","","2"
"AF187953   ","10","na","","","2"
"AF187953   ","11","yes","","","2"
"AF187953   ","12","no","2016-03-23","We don't currently have any investments.
We are in the process of producing an investment policy.
We will not make any investments until the policy has been approved.","2"
"AF187953   ","13","yes","","","2"
"AF187953   ","14","yes","","","2"
"AF187953   ","15","no","2016-05-10","We are currently using business continuity plans (Surrey CC format)  that were operational pre conversion. We will update these during the summer term.","2"
"AF187953   ","16","no","2016-03-23","Each individual school risks have been assessed but these are currently being  incorporated into an overall Kite Academy Risk register.","2"
"AF187953   ","17","yes","","","2"
"AF187953   ","18","yes","","","2"
"AF187953   ","19","yes","","","2"
"AF187953   ","20","yes","","","2"
"AF187953   ","21","yes","","","2"
"AF187953   ","22","yes","","","2"
"AF187953   ","23","yes","","","2"
"AF187953   ","24","no","2016-03-23","Currently using EFA proforma but we are in the process of producing a Kite Procurement and tendering policy.","2"
"AF187953   ","25","yes","","","2"
"AF187953   ","26","yes","","","2"
"AF187953   ","27","yes","","","2"
"AF187953   ","28","yes","","","2"
"AF187953   ","29","yes","","","2"
"AF187953   ","30","yes","","","2"
"AF187953   ","31","yes","","","2"
"AF187953   ","32","yes","","","2"
"AF187953   ","33","na","","","2"
"AF137125   ","1","yes","","","2"
"AF137125   ","2","yes","","","2"
"AF137125   ","3","yes","","","2"
"AF137125   ","4","yes","","","2"
"AF137125   ","5","yes","","","2"
"AF137125   ","6","yes","","","2"
"AF137125   ","7","yes","","","2"
"AF137125   ","8","yes","","","2"
"AF137125   ","9","yes","","","2"
"AF137125   ","10","na","","","2"
"AF137125   ","11","yes","","","2"
"AF137125   ","12","yes","","","2"
"AF137125   ","13","yes","","","2"
"AF137125   ","14","yes","","","2"
"AF137125   ","15","yes","","","2"
"AF137125   ","16","yes","","","2"
"AF137125   ","17","yes","","","2"
"AF137125   ","18","yes","","","2"
"AF137125   ","19","yes","","","2"
"AF137125   ","20","yes","","","2"
"AF137125   ","21","yes","","","2"
"AF137125   ","22","no","2016-01-31","All register of interests have been completed.  These will be reflected on the website by the end of term.","2"
"AF137125   ","23","yes","","","2"
"AF137125   ","24","yes","","","2"
"AF137125   ","25","yes","","","2"
"AF137125   ","26","yes","","","2"
"AF137125   ","27","yes","","","2"
"AF137125   ","28","yes","","","2"
"AF137125   ","29","yes","","","2"
"AF137125   ","30","no","2016-03-31","Independent assurance review on key financial controls to be procured in February 2016. ","2"
"AF137125   ","31","yes","","","2"
"AF137125   ","32","yes","","","2"
"AF137125   ","33","na","","","2"
"AF175016   ","1","yes","","","2"
"AF175016   ","2","yes","","","2"
"AF175016   ","3","yes","","","2"
"AF175016   ","4","yes","","","2"
"AF175016   ","5","yes","","","2"
"AF175016   ","6","yes","","","2"
"AF175016   ","7","yes","","","2"
"AF175016   ","8","yes","","","2"
"AF175016   ","9","yes","","","2"
"AF175016   ","10","na","","","2"
"AF175016   ","11","yes","","","2"
"AF175016   ","12","yes","","","2"
"AF175016   ","13","yes","","","2"
"AF175016   ","14","yes","","","2"
"AF175016   ","15","yes","","","2"
"AF175016   ","16","yes","","","2"
"AF175016   ","17","yes","","","2"
"AF175016   ","18","yes","","","2"
"AF175016   ","19","yes","","","2"
"AF175016   ","20","yes","","","2"
"AF175016   ","21","yes","","","2"
"AF175016   ","22","yes","","","2"
"AF175016   ","23","no","2016-02-28","Protocols & Policies under review to be completed by Feb-16. All Conflicts of interest collected & published & declared if applicable at meetings.","2"
"AF175016   ","24","no","2016-03-31","Full delegated authority limits together with requirements for quotes/tenders designated in Schedule of Financial delegation. Academy continues to utilise the HCC procurement toolkit & third party project management for bids above £20,000. Academy policy to be completed by March 2016","2"
"AF175016   ","25","yes","","","2"
"AF175016   ","26","yes","","","2"
"AF175016   ","27","yes","","","2"
"AF175016   ","28","yes","","","2"
"AF175016   ","29","yes","","","2"
"AF175016   ","30","yes","","","2"
"AF175016   ","31","yes","","","2"
"AF175016   ","32","yes","","","2"
"AF175016   ","33","na","","","2"
"AF146305   ","1","yes","","","2"
"AF146305   ","2","yes","","","2"
"AF146305   ","3","yes","","","2"
"AF146305   ","4","yes","","","2"
"AF146305   ","5","yes","","","2"
"AF146305   ","6","yes","","","2"
"AF146305   ","7","yes","","","2"
"AF146305   ","8","yes","","","2"
"AF146305   ","9","yes","","","2"
"AF146305   ","10","na","","","2"
"AF146305   ","11","yes","","","2"
"AF146305   ","12","yes","","","2"
"AF146305   ","13","yes","","","2"
"AF146305   ","14","yes","","","2"
"AF146305   ","15","yes","","","2"
"AF146305   ","16","yes","","","2"
"AF146305   ","17","yes","","","2"
"AF146305   ","18","yes","","","2"
"AF146305   ","19","yes","","","2"
"AF146305   ","20","yes","","","2"
"AF146305   ","21","yes","","","2"
"AF146305   ","22","yes","","","2"
"AF146305   ","23","yes","","","2"
"AF146305   ","24","yes","","","2"
"AF146305   ","25","yes","","","2"
"AF146305   ","26","yes","","","2"
"AF146305   ","27","yes","","","2"
"AF146305   ","28","yes","","","2"
"AF146305   ","29","yes","","","2"
"AF146305   ","30","yes","","","2"
"AF146305   ","31","yes","","","2"
"AF146305   ","32","yes","","","2"
"AF146305   ","33","na","","","2"
"AF156012   ","1","yes","","","2"
"AF156012   ","2","yes","","","2"
"AF156012   ","3","yes","","","2"
"AF156012   ","4","yes","","","2"
"AF156012   ","5","yes","","","2"
"AF156012   ","6","yes","","","2"
"AF156012   ","7","yes","","","2"
"AF156012   ","8","yes","","","2"
"AF156012   ","9","yes","","","2"
"AF156012   ","10","na","","","2"
"AF156012   ","11","yes","","","2"
"AF156012   ","12","yes","","","2"
"AF156012   ","13","yes","","","2"
"AF156012   ","14","yes","","","2"
"AF156012   ","15","yes","","","2"
"AF156012   ","16","yes","","","2"
"AF156012   ","17","yes","","","2"
"AF156012   ","18","yes","","","2"
"AF156012   ","19","yes","","","2"
"AF156012   ","20","yes","","","2"
"AF156012   ","21","yes","","","2"
"AF156012   ","22","yes","","","2"
"AF156012   ","23","yes","","","2"
"AF156012   ","24","yes","","","2"
"AF156012   ","25","yes","","","2"
"AF156012   ","26","yes","","","2"
"AF156012   ","27","yes","","","2"
"AF156012   ","28","yes","","","2"
"AF156012   ","29","yes","","","2"
"AF156012   ","30","yes","","","2"
"AF156012   ","31","yes","","","2"
"AF156012   ","32","yes","","","2"
"AF156012   ","33","na","","","2"
"AF153844   ","1","yes","","","2"
"AF153844   ","2","yes","","","2"
"AF153844   ","3","yes","","","2"
"AF153844   ","4","yes","","","2"
"AF153844   ","5","yes","","","2"
"AF153844   ","6","yes","","","2"
"AF153844   ","7","yes","","","2"
"AF153844   ","8","yes","","","2"
"AF153844   ","9","yes","","","2"
"AF153844   ","10","na","","","2"
"AF153844   ","11","yes","","","2"
"AF153844   ","12","yes","","","2"
"AF153844   ","13","yes","","","2"
"AF153844   ","14","no","2016-02-12","An internal audit schedule and programme has been prepared which covers Education, Finance, HR, Health and Safety and Estates.  External quotes are being sought to support elements of this process and these are expected in the New Year.","2"
"AF153844   ","15","yes","","","2"
"AF153844   ","16","yes","","","2"
"AF153844   ","17","yes","","","2"
"AF153844   ","18","yes","","","2"
"AF153844   ","19","yes","","","2"
"AF153844   ","20","yes","","","2"
"AF153844   ","21","yes","","","2"
"AF153844   ","22","no","2016-02-28","The Trustees have completed and signed the appropriate forms and the Trust web site will be updated with the required information when the new web site is launched in January / February 2016. ","2"
"AF153844   ","23","yes","","","2"
"AF153844   ","24","yes","","","2"
"AF153844   ","25","yes","","","2"
"AF153844   ","26","yes","","","2"
"AF153844   ","27","yes","","","2"
"AF153844   ","28","yes","","","2"
"AF153844   ","29","yes","","","2"
"AF153844   ","30","yes","","","2"
"AF153844   ","31","yes","","","2"
"AF153844   ","32","yes","","","2"
"AF153844   ","33","na","","","2"
"AF184538   ","1","yes","","","2"
"AF184538   ","2","yes","","","2"
"AF184538   ","3","yes","","","2"
"AF184538   ","4","yes","","","2"
"AF184538   ","5","yes","","","2"
"AF184538   ","6","yes","","","2"
"AF184538   ","7","yes","","","2"
"AF184538   ","8","no","2016-02-02","A scheme of Financial Delegation has been drafted and discussed at the FGP&A on 11/01/16, evidenced in draft minutes.  It is to go to the Board for approval and adoption on 09/02/2016","2"
"AF184538   ","9","yes","","","2"
"AF184538   ","10","na","","","2"
"AF184538   ","11","yes","","","2"
"AF184538   ","12","yes","","","2"
"AF184538   ","13","yes","","","2"
"AF184538   ","14","yes","","","2"
"AF184538   ","15","no","2016-07-22","It was minuted in the FGP&A on 11/01/2016 that a Contingency Business Plan is in draft and requires completion.   Document to be completed, reviewed and approved by the Trust Board.","2"
"AF184538   ","16","yes","","","2"
"AF184538   ","17","yes","","","2"
"AF184538   ","18","yes","","","2"
"AF184538   ","19","yes","","","2"
"AF184538   ","20","yes","","","2"
"AF184538   ","21","yes","","","2"
"AF184538   ","22","no","2016-03-24","The Academy website is still in development, it was minuted in the FGP&A on 11/01/2016 that the website is to be updated and the business and pecuniary interests published.","2"
"AF184538   ","23","yes","","","2"
"AF184538   ","24","yes","","","2"
"AF184538   ","25","yes","","","2"
"AF184538   ","26","yes","","","2"
"AF184538   ","27","no","2016-06-30","Dains a registered firm of auditors with ICAEW have been appointed who will prepare the financial statements in line current legislation.  Advice will be sought from the auditors at the scheduled meeting regarding the requirements of accounting policies that will be used.","2"
"AF184538   ","28","yes","","","2"
"AF184538   ","29","yes","","","2"
"AF184538   ","30","yes","","","2"
"AF184538   ","31","no","2016-06-30","An agreed programme to address the risks of financial control will be approved when independent checking has been carried out.  The terms of reference to state "To receive auditors reports and recommend to the board of Directors action as appropriate in response to audit findings.","2"
"AF184538   ","32","yes","","","2"
"AF184538   ","33","na","","","2"
"AF186402   ","1","yes","","","2"
"AF186402   ","2","yes","","","2"
"AF186402   ","3","yes","","","2"
"AF186402   ","4","yes","","","2"
"AF186402   ","5","yes","","","2"
"AF186402   ","6","yes","","","2"
"AF186402   ","7","yes","","","2"
"AF186402   ","8","yes","","","2"
"AF186402   ","9","yes","","","2"
"AF186402   ","10","na","","","2"
"AF186402   ","11","yes","","","2"
"AF186402   ","12","yes","","","2"
"AF186402   ","13","yes","","","2"
"AF186402   ","14","yes","","","2"
"AF186402   ","15","no","2016-04-11","Detailed plan will be co-ordinated with RPA (Wills Ltd) as part of their Risk Assessment and assurance visit in Mar 16.","2"
"AF186402   ","16","no","2016-04-11","Generic Risk Assessments for all College activities have been prepared.  A consolidated review of these risks will  be discussed with RPA (Wills Ltd) as part of their Risk Assessment and assurance visit in Mar 16.","2"
"AF186402   ","17","yes","","","2"
"AF186402   ","18","yes","","","2"
"AF186402   ","19","yes","","","2"
"AF186402   ","20","yes","","","2"
"AF186402   ","21","yes","","","2"
"AF186402   ","22","no","2016-04-11","To be completed once the final governing board members (Parent & Staff) are known,","2"
"AF186402   ","23","yes","","","2"
"AF186402   ","24","yes","","","2"
"AF186402   ","25","yes","","","2"
"AF186402   ","26","yes","","","2"
"AF186402   ","27","yes","","","2"
"AF186402   ","28","yes","","","2"
"AF186402   ","29","yes","","","2"
"AF186402   ","30","yes","","","2"
"AF186402   ","31","yes","","","2"
"AF186402   ","32","yes","","","2"
"AF186402   ","33","na","","","2"
"AF188632   ","1","yes","","","2"
"AF188632   ","2","yes","","","2"
"AF188632   ","3","yes","","","2"
"AF188632   ","4","yes","","","2"
"AF188632   ","5","yes","","","2"
"AF188632   ","6","yes","","","2"
"AF188632   ","7","yes","","","2"
"AF188632   ","8","yes","","","2"
"AF188632   ","9","yes","","","2"
"AF188632   ","10","na","","","2"
"AF188632   ","11","yes","","","2"
"AF188632   ","12","yes","","","2"
"AF188632   ","13","yes","","","2"
"AF188632   ","14","yes","","","2"
"AF188632   ","15","no","2016-08-31","This is an identified action for the coming year.  Completion target is end Aug 2016- to consolidate existing BCPs that each school had in place before conversion, and include the impact of cross-Trust systems and procedures.","2"
"AF188632   ","16","no","2016-08-31","This is not yet consistent across the Trust and has been identified as an action for the coming year.  The Trust has recently appointed an experienced Director who will focus on this area.","2"
"AF188632   ","17","yes","","","2"
"AF188632   ","18","yes","","","2"
"AF188632   ","19","yes","","","2"
"AF188632   ","20","yes","","","2"
"AF188632   ","21","yes","","","2"
"AF188632   ","22","no","2016-08-31","Policy in place. Website currently under development.","2"
"AF188632   ","23","yes","","","2"
"AF188632   ","24","yes","","","2"
"AF188632   ","25","yes","","","2"
"AF188632   ","26","yes","","","2"
"AF188632   ","27","yes","","","2"
"AF188632   ","28","yes","","","2"
"AF188632   ","29","yes","","","2"
"AF188632   ","30","yes","","","2"
"AF188632   ","31","no","2016-08-31","This will be agreed once the post-conversion audit report has been received.  This is expected at the end of February 2016.  An action plan will be drawn up to ensure risks to financial control are addressed and an agreed programme will be put in place before the end of the year.","2"
"AF188632   ","32","yes","","","2"
"AF188632   ","33","yes","","","2"
"AF188708   ","1","yes","","","2"
"AF188708   ","2","yes","","","2"
"AF188708   ","3","yes","","","2"
"AF188708   ","4","yes","","","2"
"AF188708   ","5","yes","","","2"
"AF188708   ","6","yes","","","2"
"AF188708   ","7","yes","","","2"
"AF188708   ","8","yes","","","2"
"AF188708   ","9","yes","","","2"
"AF188708   ","10","na","","","2"
"AF188708   ","11","no","2016-02-05","Secretary of state for Education entered into a funding agreement with us from 1st October 2015.   Budget forecast has been agreed by the board.  We are yet to be advised of the deadline for submission to the EFA.","2"
"AF188708   ","12","yes","","","2"
"AF188708   ","13","yes","","","2"
"AF188708   ","14","yes","","","2"
"AF188708   ","15","yes","","","2"
"AF188708   ","16","yes","","","2"
"AF188708   ","17","yes","","","2"
"AF188708   ","18","yes","","","2"
"AF188708   ","19","yes","","","2"
"AF188708   ","20","yes","","","2"
"AF188708   ","21","yes","","","2"
"AF188708   ","22","yes","","","2"
"AF188708   ","23","yes","","","2"
